class1,class3,substance,smiles
Alimentary and Metabolism,Anabolic steroids,ethylestrenol,CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O
Alimentary and Metabolism,Anabolic steroids,metenolone,CC1=CC(=O)C[C@H]2[C@]1([C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@@H]4O)C)C
Alimentary and Metabolism,Anabolic steroids,nandrolone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34
Alimentary and Metabolism,Anabolic steroids,norethandrolone,CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)O
Alimentary and Metabolism,Anabolic steroids,oxandrolone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(COC(=O)C4)C
Alimentary and Metabolism,Anabolic steroids,oxymetholone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(C/C(=C/O)/C(=O)C4)C
Alimentary and Metabolism,Anabolic steroids,stanozolol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(CC5=C(C4)NN=C5)C
Alimentary and Metabolism,Antacids,algeldrate,O.[OH-].[OH-].[OH-].[Al+3]
Alimentary and Metabolism,Antacids,almagate,C(=O)([O-])[O-].O.O.[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[Mg+2].[Mg+2].[Mg+2].[Al+3]
Alimentary and Metabolism,Antacids,almasilate,O.O[Si](=O)O.O[Si](=O)O.[Mg+2].[Al+3].[Al+3]
Alimentary and Metabolism,Antacids,aloglutamol,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C(C(CO)(CO)N)O.[OH-].[OH-].[Al+3]
Alimentary and Metabolism,Antacids,aluminium,[Al]
Alimentary and Metabolism,Antacids,calcium carbonate,C(=O)([O-])[O-].[Ca+2]
